Transcript stable ID	HGNC symbol
ENST00000622039	KIR2DS1
ENST00000616878	FCAR
ENST00000621289	FCAR
ENST00000615703	FCAR
ENST00000614017	FCAR
ENST00000621702	FCAR
ENST00000612150	FCAR
ENST00000619822	FCAR
ENST00000614503	FCAR
ENST00000617814	FCAR
ENST00000622904	FCAR
ENST00000610340	FCAR
ENST00000622777	FCAR
ENST00000615719	FCAR
ENST00000612095	KIR3DL3
ENST00000615308	KIR3DL2
ENST00000613109	KIR3DL2
ENST00000615739	KIR2DL3
ENST00000619788	KIR2DS5
ENST00000615309	NCR1
ENST00000612447	KIR2DS1
ENST00000614298	FCAR
ENST00000619155	FCAR
ENST00000618658	FCAR
ENST00000617510	FCAR
ENST00000620801	FCAR
ENST00000621009	FCAR
ENST00000614917	FCAR
ENST00000613689	FCAR
ENST00000618598	FCAR
ENST00000611018	FCAR
ENST00000612803	FCAR
ENST00000621004	FCAR
ENST00000621755	FCAR
ENST00000616188	KIR3DL1
ENST00000615920	KIR2DL1
ENST00000612312	KIR2DL1
ENST00000619540	ZNF430
ENST00000624457	ZNF430
ENST00000623534	ZNF430
ENST00000623260	ZNF430
ENST00000625163	ZNF430
ENST00000627644	ZNF430
ENST00000617593	KIR2DL3
ENST00000620638	KIR2DL5A
ENST00000618987	KIR2DL1
ENST00000627224	SNTG2
ENST00000624335	ZNF43
ENST00000623359	ZNF43
ENST00000624732	ZNF43
ENST00000623648	ZNF43
ENST00000620007	KIR2DL4
ENST00000617052	KIR2DL4
ENST00000617469	KIR2DS4
ENST00000614218	ZNF100
ENST00000624316	ZNF100
ENST00000623758	ZNF100
ENST00000624841	ZNF100
ENST00000624015	ZNF100
ENST00000627048	ADI1
ENST00000632221	DLG5
ENST00000631962	DLG5
ENST00000614211	DLG5
ENST00000633777	DLG5
ENST00000632417	DLG5
ENST00000633108	DLG5
ENST00000631633	DLG5
ENST00000632914	DLG5
ENST00000632604	DLG5
ENST00000631849	DLG5
ENST00000610627	KIR2DL1
ENST00000631231	TRAPPC12
ENST00000618133	TRAPPC12
ENST00000628660	TRAPPC12
ENST00000631083	TRAPPC12
ENST00000627360	TRAPPC12
ENST00000630734	TRAPPC12
